condition	page_z	drug	lfdr_page_z
crohn_quote_s_disease	-11.3273476083919	alfadolone	1
crohn_quote_s_disease	6.24124832259569	alfaxalone	1.21704693238085e-08
crohn_quote_s_disease	-30.8528490192593	alfuzosin	1
crohn_quote_s_disease	18.5248713574407	alimemazine	1.14650321005043e-73
crohn_quote_s_disease	5.5268782551851	allantoin	9.94286796470814e-07
crohn_quote_s_disease	15.1396612058306	alpha-ergocryptine	2.07190630619415e-48
crohn_quote_s_disease	-2.66855259746732	alpha-estradiol	1
crohn_quote_s_disease	-2.36107244064881	alpha-yohimbine	1
crohn_quote_s_disease	-0.690125969361227	alprenolol	1
crohn_quote_s_disease	0.297487718646376	alprostadil	1
crohn_quote_s_disease	-1.02122938971724	alsterpaullone	1
crohn_quote_s_disease	5.15850169999934	altizide	1.07093960997860e-05
crohn_quote_s_disease	16.9902017703033	altretamine	2.73018846843385e-62
crohn_quote_s_disease	-10.512572065041	alverine	1
crohn_quote_s_disease	6.83358240500362	alvespimycin	2.37965155692107e-10
crohn_quote_s_disease	12.7883043058401	amantadine	1.13284530771031e-35
crohn_quote_s_disease	-15.6119298681867	ambroxol	1
crohn_quote_s_disease	-3.7648884760571	amikacin	1
crohn_quote_s_disease	-10.4696296938062	amiloride	1
crohn_quote_s_disease	-2.61681975197447	aminocaproic acid	1
crohn_quote_s_disease	5.05226803696478	aminoglutethimide	3.48055929080305e-05
crohn_quote_s_disease	-13.5877858150772	aminohippuric acid	1
crohn_quote_s_disease	1.99713735606977	aminophenazone	1
crohn_quote_s_disease	14.9710275146423	aminophylline	1.96479044890247e-47
crohn_quote_s_disease	-13.0145513406609	amiodarone	1
crohn_quote_s_disease	12.4019012992544	amiprilose	2.46363679583609e-33
crohn_quote_s_disease	5.49345643748702	amitriptyline	9.94286796470814e-07
crohn_quote_s_disease	1.87763635115812	amodiaquine	1
crohn_quote_s_disease	6.01359035886213	amoxapine	7.70931571092903e-08
crohn_quote_s_disease	-6.38051205036128	amoxicillin	1
crohn_quote_s_disease	1.14718726178121	amphotericin B	1
crohn_quote_s_disease	-1.57074078072178	ampicillin	1
crohn_quote_s_disease	-10.1691195641384	amprolium	1
crohn_quote_s_disease	5.50899515172842	ampyrone	9.94286796470814e-07
crohn_quote_s_disease	5.9543283439164	amrinone	1.50511209243647e-07
crohn_quote_s_disease	1.97354983893835	amylocaine	1
crohn_quote_s_disease	-12.9211624056205	anabasine	1
crohn_quote_s_disease	4.71585355355873	androsterone	8.83602509716348e-05
crohn_quote_s_disease	-3.94200871125895	anisomycin	1
crohn_quote_s_disease	-3.70944294647254	antazoline	1
crohn_quote_s_disease	-0.248302798532765	antimycin A	1
crohn_quote_s_disease	-6.26533455659963	apigenin	1
crohn_quote_s_disease	0.351626635754038	apomorphine	1
crohn_quote_s_disease	-5.01361596679256	apramycin	1
crohn_quote_s_disease	-4.4006530275641	AR-A014418	1
crohn_quote_s_disease	2.33085376632403	arachidonic acid	1
crohn_quote_s_disease	12.2722574842749	arachidonyltrifluoromethane	1.60585749245619e-32
crohn_quote_s_disease	-13.232054302425	arcaine	1
crohn_quote_s_disease	4.65665847920647	arecoline	8.83602509716348e-05
crohn_quote_s_disease	2.53011208502888	artemisinin	0.999999999999982
crohn_quote_s_disease	12.1208804468184	articaine	4.45231796301641e-32
crohn_quote_s_disease	4.38686141033086	ascorbic acid	0.000463355183505462
crohn_quote_s_disease	-7.86304262600825	asiaticoside	1
crohn_quote_s_disease	1.34982300430259	astemizole	1
crohn_quote_s_disease	6.87444601191576	(-)-atenolol	2.37965155692107e-10
crohn_quote_s_disease	-7.15441128758168	atovaquone	1
crohn_quote_s_disease	12.9237994726229	atractyloside	3.06635863451092e-36
crohn_quote_s_disease	11.5432584879135	atracurium besilate	6.28896360699484e-29
crohn_quote_s_disease	-6.04995882043132	atropine	1
crohn_quote_s_disease	3.21719094549713	atropine methonitrate	0.0205779901690134
crohn_quote_s_disease	3.01717345946832	atropine oxide	0.0815820780794424
crohn_quote_s_disease	5.57199161532352	azacitidine	9.03954496987533e-07
crohn_quote_s_disease	7.2883892692941	azacyclonol	1.92658152135414e-11
crohn_quote_s_disease	4.44768084735375	azaperone	0.000380551789088521
crohn_quote_s_disease	-0.0730688906852833	azapropazone	1
crohn_quote_s_disease	7.59584671791554	azathioprine	1.58362269915488e-12
crohn_quote_s_disease	-15.6052227372568	azlocillin	1
crohn_quote_s_disease	-8.65419661132052	aztreonam	1
crohn_quote_s_disease	16.9649411127252	bacampicillin	3.76675547720219e-62
crohn_quote_s_disease	-13.8113840743303	bacitracin	1
crohn_quote_s_disease	-11.0563189375351	baclofen	1
crohn_quote_s_disease	-2.87049873752928	bambuterol	1
crohn_quote_s_disease	-3.48196245548637	BAS-012416453	1
crohn_quote_s_disease	-3.56164735383372	BCB000038	1
crohn_quote_s_disease	9.84672514327623	BCB000039	5.56592697101507e-21
crohn_quote_s_disease	17.3180335375969	BCB000040	4.23410640419425e-64
crohn_quote_s_disease	-7.95022767874115	beclometasone	1
crohn_quote_s_disease	-13.6024513919129	bemegride	1
crohn_quote_s_disease	-20.4562166542831	bendroflumethiazide	1
crohn_quote_s_disease	4.18828690009316	benfluorex	0.0006628821492486
crohn_quote_s_disease	-1.90337538445466	benfotiamine	1
crohn_quote_s_disease	1.66178242018692	benperidol	1
crohn_quote_s_disease	-17.3416123009651	benserazide	1
crohn_quote_s_disease	-4.61258939982202	benzamil	1
crohn_quote_s_disease	4.92294533842121	benzathine benzylpenicillin	4.37084498160573e-05
crohn_quote_s_disease	3.63315259137384	benzbromarone	0.0113632842717094
crohn_quote_s_disease	-3.21328339244412	benzethonium chloride	1
crohn_quote_s_disease	12.2361516098844	benzocaine	4.45231796301641e-32
crohn_quote_s_disease	3.54168747315360	benzonatate	0.0158760089275957
crohn_quote_s_disease	-5.95190341114856	benzthiazide	1
crohn_quote_s_disease	4.26267619657148	benzydamine	0.000588053704044158
crohn_quote_s_disease	-7.55192072218726	benzylpenicillin	1
crohn_quote_s_disease	-14.0116043274291	bephenium hydroxynaphthoate	1
crohn_quote_s_disease	-11.3442555681915	bepridil	1
crohn_quote_s_disease	-2.23076154808745	berberine	1
crohn_quote_s_disease	-7.4575541716671	bergenin	1
crohn_quote_s_disease	4.25284351973002	beta-escin	0.000588053704044158
crohn_quote_s_disease	-1.04220241849487	betahistine	1
crohn_quote_s_disease	-5.06409630540227	betamethasone	1
crohn_quote_s_disease	-19.5250445728409	betaxolol	1
crohn_quote_s_disease	-2.47865667768523	betazole	1
crohn_quote_s_disease	-3.91794426487728	bethanechol	1
crohn_quote_s_disease	-12.6211806618888	betonicine	1
crohn_quote_s_disease	9.82845321105975	betulin	5.56592697101507e-21
crohn_quote_s_disease	2.40322221028924	betulinic acid	0.999999999999982
crohn_quote_s_disease	8.56468576319123	bezafibrate	4.477274767963e-16
crohn_quote_s_disease	8.6180981094286	bicuculline	4.477274767963e-16
crohn_quote_s_disease	4.33337770140733	biotin	0.000463355183505462
crohn_quote_s_disease	8.23210427677041	biperiden	1.06180308167854e-14
crohn_quote_s_disease	-2.33381441702955	bisacodyl	1
crohn_quote_s_disease	-3.68147986481837	bisoprolol	1
crohn_quote_s_disease	5.3410429677686	blebbistatin	3.23730455133427e-06
crohn_quote_s_disease	-5.45945842065644	boldine	1
crohn_quote_s_disease	-0.782927878352787	bretylium tosilate	1
crohn_quote_s_disease	-3.23584315567734	brinzolamide	1
crohn_quote_s_disease	-6.10649613687933	bromocriptine	1
crohn_quote_s_disease	-7.40482259837602	bromopride	1
crohn_quote_s_disease	-8.30843299816256	bromperidol	1
crohn_quote_s_disease	6.29262818306073	brompheniramine	1.21704693238085e-08
crohn_quote_s_disease	-13.8984711075424	bucladesine	1
crohn_quote_s_disease	-5.37904434172904	budesonide	1
crohn_quote_s_disease	15.5081996056151	bufexamac	5.9318788069429e-52
crohn_quote_s_disease	1.00470484758107	buflomedil	1
crohn_quote_s_disease	-12.7013831106991	bumetanide	1
crohn_quote_s_disease	2.96833006349151	bupivacaine	0.0815820780794424
crohn_quote_s_disease	14.2995368686078	bupropion	2.98088982722844e-43
crohn_quote_s_disease	5.29746394794845	buspirone	3.23730455133427e-06
crohn_quote_s_disease	7.2268088442387	butacaine	4.9462998739729e-11
crohn_quote_s_disease	-1.40157375708773	butamben	1
crohn_quote_s_disease	-6.95627579612012	butein	1
crohn_quote_s_disease	-4.6862203850276	butirosin	1
crohn_quote_s_disease	4.18556985918700	butoconazole	0.00092395607094811
crohn_quote_s_disease	12.8655869922375	butyl hydroxybenzoate	6.53717360503187e-36
crohn_quote_s_disease	7.58215341247546	BW-B70C	3.95237505387071e-12
crohn_quote_s_disease	-6.6271249148913	C-75	1
crohn_quote_s_disease	-3.9643256665405	caffeic acid	1
crohn_quote_s_disease	-1.60918955807019	calcium folinate	1
crohn_quote_s_disease	17.9085783926007	calcium pantothenate	1.61442235784993e-68
crohn_quote_s_disease	-8.01221104019903	calmidazolium	1
crohn_quote_s_disease	-5.8765803449949	calycanthine	1
crohn_quote_s_disease	-0.699337925656391	camptothecin	1
crohn_quote_s_disease	-24.6692876557749	canadine	1
crohn_quote_s_disease	-21.6897227684792	canavanine	1
crohn_quote_s_disease	9.53257681883504	canrenoic acid	3.56287649329093e-19
crohn_quote_s_disease	-7.11228618838635	cantharidin	1
crohn_quote_s_disease	7.70147397914973	capsaicin	7.63674573998302e-13
crohn_quote_s_disease	11.6545824555968	captopril	2.56367796689697e-29
crohn_quote_s_disease	-8.8140438982731	carbachol	1
crohn_quote_s_disease	-0.781656191253046	carbamazepine	1
crohn_quote_s_disease	-8.44950925882855	carbarsone	1
crohn_quote_s_disease	-5.66425635930479	carbenoxolone	1
crohn_quote_s_disease	21.7520182952999	carbimazole	2.74257376145774e-99
crohn_quote_s_disease	20.3758628762623	carbinoxamine	1.80645549928601e-88
crohn_quote_s_disease	-1.14026226763009	carcinine	1
crohn_quote_s_disease	1.66888048935266	carisoprodol	1
crohn_quote_s_disease	27.4878388954376	carmustine	1.73208466088291e-159
crohn_quote_s_disease	2.11336854250930	carteolol	1
crohn_quote_s_disease	9.38170971538795	(-)-catechin	1.38015124873263e-18
crohn_quote_s_disease	10.1066393165737	(+/-)-catechin	6.1746492875965e-22
crohn_quote_s_disease	6.66198056030332	CAY-10397	2.24973016231407e-09
crohn_quote_s_disease	1.27794218445120	cefaclor	1
crohn_quote_s_disease	-5.21038020626367	cefadroxil	1
crohn_quote_s_disease	6.29755656489061	cefalexin	9.8337980737328e-09
crohn_quote_s_disease	7.85760572337811	cefalonium	1.84712701734144e-13
crohn_quote_s_disease	-0.306880425980990	cefalotin	1
crohn_quote_s_disease	9.42346856455169	cefamandole	4.20941771930073e-19
crohn_quote_s_disease	-2.13095616790945	cefapirin	1
crohn_quote_s_disease	12.6935349631106	cefazolin	1.28542109932291e-34
crohn_quote_s_disease	14.3622776620205	cefepime	5.18639696270955e-44
crohn_quote_s_disease	-8.47719090534342	cefixime	1
crohn_quote_s_disease	-6.53188291081747	cefmetazole	1
crohn_quote_s_disease	-7.52899953048923	cefoperazone	1
crohn_quote_s_disease	4.07427115290104	ceforanide	0.00092395607094811
crohn_quote_s_disease	-1.17314688528335	cefotaxime	1
crohn_quote_s_disease	2.37168429621103	cefotetan	1
crohn_quote_s_disease	3.25468751912793	cefotiam	0.0205779901690134
crohn_quote_s_disease	2.88813295414538	cefoxitin	0.0815820780794424
crohn_quote_s_disease	0.764052179590756	cefsulodin	1
crohn_quote_s_disease	2.55070091933089	ceftazidime	0.99999999999995
crohn_quote_s_disease	-4.69645957905914	cefuroxime	1
crohn_quote_s_disease	2.51336225000727	celastrol	0.999999999999982
crohn_quote_s_disease	7.49122186319258	celecoxib	3.95237505387071e-12
crohn_quote_s_disease	-1.98052513188759	cephaeline	1
crohn_quote_s_disease	-5.07334678522611	cetirizine	1
crohn_quote_s_disease	-9.2079110410386	(+)-chelidonine	1
crohn_quote_s_disease	16.6440552755455	chenodeoxycholic acid	7.51680022609562e-60
crohn_quote_s_disease	-1.08223336842971	Chicago Sky Blue 6B	1
crohn_quote_s_disease	11.5407331635646	chlorambucil	2.05240681597241e-28
crohn_quote_s_disease	5.31787708002783	chloramphenicol	3.23730455133427e-06
crohn_quote_s_disease	10.5470540598551	chlorcyclizine	2.77618114861957e-24
crohn_quote_s_disease	13.2491622089888	chlorhexidine	3.50561951354277e-37
crohn_quote_s_disease	-16.6331025939120	chlormezanone	1
crohn_quote_s_disease	-4.96725113344416	chlorogenic acid	1
crohn_quote_s_disease	5.43557810954554	chloropyramine	1.29371115451181e-06
crohn_quote_s_disease	6.58971610614738	chloropyrazine	3.64460300548595e-09
crohn_quote_s_disease	5.34929016909159	chloroquine	3.23730455133427e-06
crohn_quote_s_disease	5.50813745033334	chlorphenamine	9.94286796470814e-07
crohn_quote_s_disease	-15.2350445383741	chlorphenesin	1
crohn_quote_s_disease	-34.364684330947	chlorpromazine	1
crohn_quote_s_disease	0.00870131156118437	chlorpropamide	1
crohn_quote_s_disease	-2.64801260126719	chlorprothixene	1
crohn_quote_s_disease	2.59891346557769	chlortalidone	0.999999999999714
crohn_quote_s_disease	-9.31050033289132	chlortetracycline	1
crohn_quote_s_disease	-2.78442212503904	chlorzoxazone	1
crohn_quote_s_disease	-16.3611753830634	chrysin	1
crohn_quote_s_disease	22.4733231369660	ciclacillin	1.25514895916359e-108
crohn_quote_s_disease	6.73223841448455	cicloheximide	1.05018855983402e-09
crohn_quote_s_disease	-10.3428306969067	ciclopirox	1
crohn_quote_s_disease	1.10548762691285	ciclosporin	1
crohn_quote_s_disease	5.56501938561565	cimetidine	9.94286796470814e-07
crohn_quote_s_disease	-4.29769246526271	cinchocaine	1
crohn_quote_s_disease	4.7877608981416	cinchonidine	5.15504731766668e-05
crohn_quote_s_disease	-2.74530188209557	cinchonine	1
crohn_quote_s_disease	6.59836831145544	cinnarizine	2.24973016231407e-09
crohn_quote_s_disease	5.72396784744750	cinoxacin	5.19275520849259e-07
crohn_quote_s_disease	17.4044809142049	ciprofibrate	1.05930967000835e-64
crohn_quote_s_disease	6.98113032991406	ciprofloxacin	1.74987740522551e-10
crohn_quote_s_disease	3.49006730220868	cisapride	0.0158760089275957
crohn_quote_s_disease	-1.58040094286995	citalopram	1
crohn_quote_s_disease	3.15898974538561	citiolone	0.0275129594030518
crohn_quote_s_disease	4.09741163238852	clebopride	0.00092395607094811
crohn_quote_s_disease	3.13091276061304	clemastine	0.0282228715154824
crohn_quote_s_disease	-11.6483922363513	clemizole	1
crohn_quote_s_disease	-8.18646931895024	clenbuterol	1
crohn_quote_s_disease	6.66910331353453	clidinium bromide	1.05018855983402e-09
crohn_quote_s_disease	1.45044628280159	clindamycin	1
crohn_quote_s_disease	-3.74495621524137	clioquinol	1
crohn_quote_s_disease	6.84056742049351	clobetasol	2.37965155692107e-10
crohn_quote_s_disease	-13.8547243294264	clofazimine	1
crohn_quote_s_disease	-8.78562837679079	clofibrate	1
crohn_quote_s_disease	-1.36106118533395	clofilium tosylate	1
crohn_quote_s_disease	-6.59028513372521	clomifene	1
crohn_quote_s_disease	4.95078364913094	clomipramine	4.37084498160573e-05
crohn_quote_s_disease	-2.44765797743535	clonidine	1
crohn_quote_s_disease	13.5464191572505	clopamide	2.68926056904630e-39
crohn_quote_s_disease	-3.23713212256114	cloperastine	1
crohn_quote_s_disease	-16.5812322062847	clorgiline	1
crohn_quote_s_disease	12.3880538329968	clorsulon	4.95072254693658e-33
crohn_quote_s_disease	12.3603314842399	clotrimazole	5.18335248410499e-33
crohn_quote_s_disease	-2.8038226196953	cloxacillin	1
crohn_quote_s_disease	0.238363414070640	clozapine	1
crohn_quote_s_disease	3.90987525656843	cobalt chloride	0.00365273617979568
crohn_quote_s_disease	-3.37531073220764	co-dergocrine mesilate	1
crohn_quote_s_disease	-10.6777636804011	colchicine	1
crohn_quote_s_disease	-6.37497919206324	colecalciferol	1
crohn_quote_s_disease	7.28949169252284	colforsin	1.92658152135414e-11
crohn_quote_s_disease	11.5511407933876	colistin	6.28896360699484e-29
crohn_quote_s_disease	9.23084014952771	conessine	2.80576696069138e-18
crohn_quote_s_disease	11.2389963644297	convolamine	2.85135178804073e-27
crohn_quote_s_disease	-2.74537740639971	copper sulfate	1
crohn_quote_s_disease	-8.66362356794389	coralyne	1
crohn_quote_s_disease	6.37975203552724	corbadrine	9.8337980737328e-09
crohn_quote_s_disease	3.26743561858277	corticosterone	0.0164955616243994
crohn_quote_s_disease	6.97615220223228	cortisone	2.37965155692107e-10
crohn_quote_s_disease	-22.4236244947095	corynanthine	1
crohn_quote_s_disease	-0.982980710064048	cotinine	1
crohn_quote_s_disease	10.1922432594363	CP-319743	3.24313294413664e-22
crohn_quote_s_disease	2.99180169669925	CP-320650-01	0.0815820780794424
crohn_quote_s_disease	1.82313386973808	CP-645525-01	1
crohn_quote_s_disease	-2.33514200135338	CP-690334-01	1
crohn_quote_s_disease	6.8342640428257	CP-863187	2.37965155692107e-10
crohn_quote_s_disease	6.20550784998479	CP-944629	2.92930714182439e-08
crohn_quote_s_disease	-4.79008619958374	cromoglicic acid	1
crohn_quote_s_disease	-8.56569520294258	crotamiton	1
crohn_quote_s_disease	8.23016046128776	cyanocobalamin	2.11884668957732e-14
crohn_quote_s_disease	-3.28482599636703	cyclic adenosine monophosphate	1
crohn_quote_s_disease	-18.8725767318999	cyclizine	1
crohn_quote_s_disease	18.7931104057230	cyclobenzaprine	2.05719220126085e-75
crohn_quote_s_disease	15.6415465192224	cyclopenthiazide	2.10934503818314e-52
crohn_quote_s_disease	15.6450566374805	cyclopentolate	6.86171691606475e-53
crohn_quote_s_disease	5.58743967481719	cycloserine	9.03954496987533e-07
crohn_quote_s_disease	-10.5133263214921	cyproheptadine	1
crohn_quote_s_disease	-3.93488368007834	cyproterone	1
crohn_quote_s_disease	-2.07555811072058	cytisine	1
crohn_quote_s_disease	-6.6111384973789	cytochalasin B	1
crohn_quote_s_disease	-9.73562951684808	dacarbazine	1
crohn_quote_s_disease	1.69427923938749	danazol	1
crohn_quote_s_disease	-2.74143522309431	dantrolene	1
crohn_quote_s_disease	21.9910422363822	dapsone	7.1679563780269e-105
crohn_quote_s_disease	-11.7808928404711	daunorubicin	1
crohn_quote_s_disease	-0.116184149322555	debrisoquine	1
crohn_quote_s_disease	-12.1463477298184	decamethonium bromide	1
crohn_quote_s_disease	0.0271925066445509	decitabine	1
crohn_quote_s_disease	-2.6784237203451	deferoxamine	1
crohn_quote_s_disease	6.06203422364456	dehydrocholic acid	7.70931571092903e-08
crohn_quote_s_disease	-1.47743694190653	delsoline	1
crohn_quote_s_disease	6.5376768217333	demecarium bromide	4.65903899920944e-09
crohn_quote_s_disease	-8.6106503000382	demeclocycline	1
crohn_quote_s_disease	-3.34400479310765	demecolcine	1
crohn_quote_s_disease	9.3937940478725	denatonium benzoate	4.20941771930073e-19
crohn_quote_s_disease	-9.28500604715201	deptropine	1
crohn_quote_s_disease	2.54167514394603	depudecin	0.999999999999982
crohn_quote_s_disease	3.32000920737778	dequalinium chloride	0.0164955616243994
crohn_quote_s_disease	5.7345902145343	desipramine	5.19275520849259e-07
crohn_quote_s_disease	-0.85996121735332	desoxycortone	1
crohn_quote_s_disease	15.2513772750364	dexamethasone	2.87174366560113e-49
crohn_quote_s_disease	1.68458740539169	dexibuprofen	1
crohn_quote_s_disease	7.75270222723546	dexpanthenol	7.63674573998302e-13
crohn_quote_s_disease	-5.91551568188028	dexpropranolol	1
crohn_quote_s_disease	-12.3305976824521	dextromethorphan	1
crohn_quote_s_disease	-0.437524518741729	dexverapamil	1
crohn_quote_s_disease	16.9359430702410	diazoxide	6.87210816901887e-61
crohn_quote_s_disease	-20.1106417226726	diclofenac	1
crohn_quote_s_disease	10.5782414041583	diclofenamide	2.77618114861957e-24
crohn_quote_s_disease	0.96931655765627	dicloxacillin	1
crohn_quote_s_disease	1.91388964927263	dicoumarol	1
crohn_quote_s_disease	-0.437955307178924	dicycloverine	1
crohn_quote_s_disease	2.37784202959545	dienestrol	0.999999999999982
crohn_quote_s_disease	12.1355380842317	diethylcarbamazine	4.45231796301641e-32
crohn_quote_s_disease	8.33173760173034	diethylstilbestrol	1.06180308167854e-14
crohn_quote_s_disease	4.2283397333811	difenidol	0.000588053704044158
crohn_quote_s_disease	-12.8141134037584	diflorasone	1
crohn_quote_s_disease	-11.5563061689129	diflunisal	1
crohn_quote_s_disease	-1.97864753806696	digitoxigenin	1
crohn_quote_s_disease	-4.8826557574548	digoxigenin	1
crohn_quote_s_disease	0.0654440271026571	digoxin	1
crohn_quote_s_disease	2.29751099034979	dihydroergocristine	1
crohn_quote_s_disease	17.1201744627796	dihydroergotamine	1.586240270334e-63
crohn_quote_s_disease	10.5349767036436	dihydrostreptomycin	5.28799064929600e-24
crohn_quote_s_disease	-8.6486738845018	dilazep	1
crohn_quote_s_disease	4.42119154754173	diloxanide	0.000380551789088521
crohn_quote_s_disease	-6.10124234049228	diltiazem	1
crohn_quote_s_disease	-2.78289433441320	dimenhydrinate	1
crohn_quote_s_disease	-2.45743376170663	dimethadione	1
crohn_quote_s_disease	-26.4375484054395	dimethyloxalylglycine	1
crohn_quote_s_disease	-1.42224433037922	dinoprost	1
crohn_quote_s_disease	-2.42292467806984	dinoprostone	1
crohn_quote_s_disease	0.453709289911426	dioxybenzone	1
crohn_quote_s_disease	11.1883471421252	diperodon	9.66182276451429e-27
crohn_quote_s_disease	-5.3137347930515	diphemanil metilsulfate	1
crohn_quote_s_disease	5.48120269982194	diphenhydramine	9.94286796470814e-07
crohn_quote_s_disease	-2.10511317172126	diphenylpyraline	1
crohn_quote_s_disease	5.29300211395945	dipivefrine	7.01200794913249e-06
crohn_quote_s_disease	24.4408286284917	diprophylline	1.41385256037773e-129
crohn_quote_s_disease	16.0441475193545	dipyridamole	3.54526607693520e-55
crohn_quote_s_disease	17.4798385724463	dirithromycin	2.21217768928864e-65
crohn_quote_s_disease	-9.13459656073093	disopyramide	1
crohn_quote_s_disease	16.0594291817485	disulfiram	1.18732401255315e-55
