hepatocellular_carcinoma	kif1b
atrial_fibrillation	rp11-777n19.1
fasting_glucose-related_traits	tcf7l2
fasting_glucose-related_traits	rp11-139k1.2
fasting_glucose-related_traits	cry2
fasting_glucose-related_traits	madd
fasting_glucose-related_traits	mybpc3
fasting_glucose-related_traits	c11orf9
fasting_glucose-related_traits	c11orf9
fasting_glucose-related_traits	c11orf10
fasting_glucose-related_traits	c11orf10
fasting_glucose-related_traits	hsa-mir-611
fasting_glucose-related_traits	hsa-mir-611
fasting_glucose-related_traits	fen1
fasting_glucose-related_traits	fen1
fasting_glucose-related_traits	fads1
fasting_glucose-related_traits	fads1
fasting_glucose-related_traits	hsa-mir-1908
fasting_glucose-related_traits	hsa-mir-1908
fasting_glucose-related_traits	fads2
fasting_glucose-related_traits	fads2
fasting_glucose-related_traits	mtnr1b
fasting_glucose-related_traits	mtnr1b
fasting_glucose-related_traits	igf1
fasting_glucose-related_traits	igf1
fasting_glucose-related_traits	rp11-478j18.1
fasting_glucose-related_traits	rp11-478j18.2
fasting_glucose-related_traits	prox1
fasting_glucose-related_traits	rp11-478j18.3
fasting_glucose-related_traits	gckr
fasting_glucose-related_traits	gckr
fasting_glucose-related_traits	gckr
fasting_glucose-related_traits	ac109829.1
fasting_glucose-related_traits	ac109829.1
fasting_glucose-related_traits	ac109829.1
fasting_glucose-related_traits	spc25
fasting_glucose-related_traits	spc25
fasting_glucose-related_traits	g6pc2
fasting_glucose-related_traits	g6pc2
fasting_glucose-related_traits	abcb11
fasting_glucose-related_traits	abcb11
fasting_glucose-related_traits	adcy5
fasting_glucose-related_traits	adcy5
fasting_glucose-related_traits	u1
fasting_glucose-related_traits	slc2a2
fasting_glucose-related_traits	gck
fasting_glucose-related_traits	gck
fasting_glucose-related_traits	ykt6
fasting_glucose-related_traits	ykt6
fasting_glucose-related_traits	slc30a8
fasting_glucose-related_traits	ac084114.1
fasting_glucose-related_traits	glis3
fasting_glucose-related_traits	glis3
fasting_glucose-related_traits	rp11-358m14.2
fasting_glucose-related_traits	rp11-358m14.2
menarche_and_menopause___right_parenthesis__age_at_onset__left_parenthesis__	brsk1
menarche_and_menopause___right_parenthesis__age_at_onset__left_parenthesis__	tmem150b
menarche_and_menopause___right_parenthesis__age_at_onset__left_parenthesis__	trmt6
menarche_and_menopause___right_parenthesis__age_at_onset__left_parenthesis__	mcm8
menarche_and_menopause___right_parenthesis__age_at_onset__left_parenthesis__	y_rna
menarche_and_menopause___right_parenthesis__age_at_onset__left_parenthesis__	rp5-967n21.7
menarche_and_menopause___right_parenthesis__age_at_onset__left_parenthesis__	tmem14b
menarche_and_menopause___right_parenthesis__age_at_onset__left_parenthesis__	gcm2
menarche_and_menopause___right_parenthesis__age_at_onset__left_parenthesis__	rp11-637o19.2
menarche_and_menopause___right_parenthesis__age_at_onset__left_parenthesis__	sycp2l
menarche_and_menopause___right_parenthesis__age_at_onset__left_parenthesis__	c6orf220
menarche_and_menopause___right_parenthesis__age_at_onset__left_parenthesis__	lin28b
plasma_levels_of_protein_c	edem2
plasma_levels_of_protein_c	procr
plasma_levels_of_protein_c	5s_rrna
plasma_levels_of_protein_c	ac068282.3
plasma_levels_of_protein_c	proc
plasma_levels_of_protein_c	iws1
plasma_levels_of_protein_c	baz1b
plasma_levels_of_protein_c	u6
bilirubin_levels	slco1b3
bilirubin_levels	tktl1
bilirubin_levels	xx-fw83128a1.2
bilirubin_levels	ugt1a8
bilirubin_levels	ugt1a10
bilirubin_levels	ugt1a9
bilirubin_levels	ugt1a7
bilirubin_levels	ugt1a6
bilirubin_levels	ugt1a5
bilirubin_levels	ugt1a4
bilirubin_levels	ugt1a3
bilirubin_levels	ac114812.9
bilirubin_levels	dnajb3
bilirubin_levels	ugt1a2p
bilirubin_levels	ac114812.10
bilirubin_levels	ac114812.5
bilirubin_levels	ugt1a1
bilirubin_levels	heatr7b1
serum_uric_acid	slc16a9
serum_uric_acid	slc22a11
serum_uric_acid	slc22a11
serum_uric_acid	slc22a12
serum_uric_acid	nrxn2
serum_uric_acid	cd160
serum_uric_acid	pdzk1
serum_uric_acid	gckr
serum_uric_acid	ac109829.1
serum_uric_acid	slc2a9
serum_uric_acid	slc2a9
serum_uric_acid	slc2a9
serum_uric_acid	rp13-560n11.1
serum_uric_acid	rp13-560n11.1
serum_uric_acid	rp13-560n11.1
serum_uric_acid	abcg2
serum_uric_acid	abcg2
serum_uric_acid	lrrc16a
serum_uric_acid	slc17a1
serum_uric_acid	slc17a3
warfarin_maintenance_dose	cyp2c9
warfarin_maintenance_dose	cyp2c9
warfarin_maintenance_dose	cyp2c9
warfarin_maintenance_dose	rp11-208c17.2
warfarin_maintenance_dose	rp11-208c17.2
warfarin_maintenance_dose	stx4
warfarin_maintenance_dose	ac135050.2
warfarin_maintenance_dose	znf646
warfarin_maintenance_dose	znf646
warfarin_maintenance_dose	prss53
warfarin_maintenance_dose	prss53
warfarin_maintenance_dose	vkorc1
warfarin_maintenance_dose	vkorc1
warfarin_maintenance_dose	bckdk
warfarin_maintenance_dose	bckdk
warfarin_maintenance_dose	ac135050.1
warfarin_maintenance_dose	ac135050.1
warfarin_maintenance_dose	cyp4f2
warfarin_maintenance_dose	cyp4f2
acute_lymphoblastic_leukemia___right_parenthesis__childhood__left_parenthesis__	arid5b
acute_lymphoblastic_leukemia___right_parenthesis__childhood__left_parenthesis__	arid5b
acute_lymphoblastic_leukemia___right_parenthesis__childhood__left_parenthesis__	ikzf1
acute_lymphoblastic_leukemia___right_parenthesis__childhood__left_parenthesis__	ikzf1
conduct_disorder___right_parenthesis__case_status__left_parenthesis__	rp11-665g4.1
conduct_disorder___right_parenthesis__case_status__left_parenthesis__	c1qtnf7
conduct_disorder___right_parenthesis__case_status__left_parenthesis__	rp11-484o2.1
fasting_plasma_glucose	mtnr1b
fasting_plasma_glucose	mtnr1b
fasting_plasma_glucose	spc25
fasting_plasma_glucose	spc25
fasting_plasma_glucose	g6pc2
fasting_plasma_glucose	g6pc2
fasting_plasma_glucose	abcb11
fasting_plasma_glucose	abcb11
fasting_plasma_glucose	gck
fasting_plasma_glucose	ykt6
fasting_plasma_glucose	zmat4
glaucoma___right_parenthesis__primary_open-angle__left_parenthesis__	cav2
glaucoma___right_parenthesis__primary_open-angle__left_parenthesis__	cav1
hypertriglyceridemia	bud13
hypertriglyceridemia	ap006216.10
hypertriglyceridemia	ap006216.11
hypertriglyceridemia	znf259
hypertriglyceridemia	apoa5
hypertriglyceridemia	ift172
hypertriglyceridemia	fndc4
hypertriglyceridemia	gckr
myeloproliferative_neoplasms	jak2
myeloproliferative_neoplasms	rp11-39k24.9
prostate_cancer	al442003.3
prostate_cancer	al442003.3
prostate_cancer	al442003.3
prostate_cancer	al442003.3
prostate_cancer	rp11-109g10.2
prostate_cancer	rp11-109g10.2
prostate_cancer	rp11-109g10.2
prostate_cancer	rp11-109g10.2
prostate_cancer	rp11-481a12.2
prostate_cancer	rp11-481a12.2
prostate_cancer	rp11-481a12.2
prostate_cancer	rp11-481a12.2
prostate_cancer	al450342.2
prostate_cancer	al450342.2
prostate_cancer	al450342.2
prostate_cancer	al450342.2
prostate_cancer	msmb
prostate_cancer	msmb
prostate_cancer	msmb
prostate_cancer	ncoa4
prostate_cancer	ncoa4
prostate_cancer	ncoa4
prostate_cancer	u7
prostate_cancer	ac068400.1
prostate_cancer	ac068400.1
prostate_cancer	ac068400.1
prostate_cancer	ac068400.1
prostate_cancer	ac068400.1
prostate_cancer	hnf1b
prostate_cancer	hnf1b
prostate_cancer	hnf1b
prostate_cancer	hnf1b
prostate_cancer	hnf1b
prostate_cancer	dpf1
prostate_cancer	ppp1r14a
prostate_cancer	ac011479.3
prostate_cancer	klk3
prostate_cancer	klk2
prostate_cancer	ttll1
prostate_cancer	al022237.3
prostate_cancer	bik
prostate_cancer	rp11-348f1.2
prostate_cancer	nudt11
prostate_cancer	nudt11
prostate_cancer	rp11-56h2.2
prostate_cancer	rp11-56h2.2
prostate_cancer	thada
prostate_cancer	ehbp1
prostate_cancer	itga6
prostate_cancer	ac078883.4
prostate_cancer	ac078883.3
prostate_cancer	ppatp1
prostate_cancer	ac107204.1
prostate_cancer	eefsec
prostate_cancer	pdlim5
prostate_cancer	pdlim5
prostate_cancer	ac004069.2
prostate_cancer	tet2
prostate_cancer	irx4
prostate_cancer	ctd-2194d22.3
prostate_cancer	ctd-2194d22.4
prostate_cancer	rfx6
prostate_cancer	slc22a1
prostate_cancer	rp11-317m22.1
prostate_cancer	slc22a2
prostate_cancer	slc22a3
prostate_cancer	lmtk2
prostate_cancer	lmtk2
prostate_cancer	nkx3-1
prostate_cancer	nkx3-1
prostate_cancer	ac020688.2
prostate_cancer	ac018714.1
prostate_cancer	ac018714.1
prostate_cancer	ac018714.1
prostate_cancer	ac018714.1
prostate_cancer	ac018714.1
prostate_cancer	ac018714.1
prostate_cancer	ac018714.1
prostate_cancer	ac018714.1
prostate_cancer	pou5f1p1
prostate_cancer	pou5f1p1
prostate_cancer	pou5f1p1
skin_sensitivity_to_sun	tcf25
skin_sensitivity_to_sun	ac092143.1
skin_sensitivity_to_sun	tubb3
skin_sensitivity_to_sun	ac092143.3
skin_sensitivity_to_sun	rps2p1
cardiovascular_disease_risk_factors	herpud1
cardiovascular_disease_risk_factors	ac012181.1
cardiovascular_disease_risk_factors	cetp
cardiovascular_disease_risk_factors	tomm40
cardiovascular_disease_risk_factors	apoe
cardiovascular_disease_risk_factors	apoc1
plasma_carotenoid_and_tocopherol_levels	bud13
plasma_carotenoid_and_tocopherol_levels	pkd1l2
plasma_carotenoid_and_tocopherol_levels	bcmo1
psoriatic_arthritis	rp3-487j7.2
psoriatic_arthritis	traf3ip2
black_vs._blond_hair_color	slc24a4
black_vs._blond_hair_color	herc2
black_vs._blond_hair_color	whamml2
black_vs._blond_hair_color	ac055876.2
black_vs._blond_hair_color	slc45a2
black_vs._blond_hair_color	rp11-1084j3.1
black_vs._blond_hair_color	al357054.1
black_vs._blond_hair_color	al357054.1
black_vs._blond_hair_color	irf4
black_vs._blond_hair_color	exoc2
black_vs._blond_hair_color	rp1-20b11.2
hematocrit	hk1
hematocrit	brap
hematocrit	kctd17
hematocrit	7sk
hematocrit	tmprss6
hematocrit	rp5-1170k4.7
hematocrit	prkce
hematocrit	hfe
hematocrit	hist1h4c
hematocrit	hist1h1t
hematocrit	tfr2
hematocrit	actl6b
hematocrit	prkag2
breast_cancer	znf365
breast_cancer	rp11-202p11.1
breast_cancer	zmiz1
breast_cancer	fgfr2
breast_cancer	fgfr2
breast_cancer	fgfr2
breast_cancer	fgfr2
breast_cancer	fgfr2
breast_cancer	fgfr2
breast_cancer	lsp1
breast_cancer	c11orf89
breast_cancer	ac051649.16
breast_cancer	tox3
breast_cancer	tox3
breast_cancer	tox3
breast_cancer	tox3
breast_cancer	tox3
breast_cancer	ac026462.1
breast_cancer	ac026462.1
breast_cancer	ac026462.1
breast_cancer	ac026462.1
breast_cancer	ac026462.1
breast_cancer	ushbp1
breast_cancer	c19orf62
breast_cancer	ankle1
breast_cancer	abhd8
breast_cancer	al592494.2
breast_cancer	rnf146
breast_cancer	echdc1
breast_cancer	c6orf97
breast_cancer	u6
breast_cancer	ac018714.1
breast_cancer	cdkn2bas
recombination_rate___right_parenthesis__females__left_parenthesis__	rnf212
recombination_rate___right_parenthesis__females__left_parenthesis__	rp11-20i20.1
ykl-40_levels	adora1
ykl-40_levels	mybph
ykl-40_levels	chi3l1
nicotine_dependence	chrna5
nicotine_dependence	chrna3
chronic_obstructive_pulmonary_disease	ireb2
chronic_obstructive_pulmonary_disease	ireb2
chronic_obstructive_pulmonary_disease	agphd1
chronic_obstructive_pulmonary_disease	agphd1
chronic_obstructive_pulmonary_disease	fam13a
cystatin_c	rp11-218c14.2
cystatin_c	cst9
eye_color_traits	herc2
eye_color_traits	nploc4
eye_color_traits	ac139530.1
eye_color_traits	tspan10
eye_color_traits	ttc3
waist-hip_ratio	ac012531.10
waist-hip_ratio	hoxc13
waist-hip_ratio	hoxc12
waist-hip_ratio	hotair
waist-hip_ratio	tbx15
waist-hip_ratio	dnm3
waist-hip_ratio	u6
waist-hip_ratio	pigc
waist-hip_ratio	rp11-95p13.2
waist-hip_ratio	znrf3
waist-hip_ratio	c22orf31
waist-hip_ratio	kremen1
waist-hip_ratio	cobll1
waist-hip_ratio	tnnc1
waist-hip_ratio	nisch
waist-hip_ratio	ctd-2230d16.1
waist-hip_ratio	cpeb4
waist-hip_ratio	al031123.2
waist-hip_ratio	rp3-470l22.1
waist-hip_ratio	vegfa
waist-hip_ratio	rspo3
waist-hip_ratio	rspo3
ovarian_cancer	hoxd3
ovarian_cancer	ac009336.23
ovarian_cancer	ac009336.24
ovarian_cancer	hoxd1
optic_disc_size___right_parenthesis__disc__left_parenthesis__	atoh7
optic_disc_size___right_parenthesis__disc__left_parenthesis__	rp11-153k11.3
optic_disc_size___right_parenthesis__disc__left_parenthesis__	rp11-153k11.3
optic_disc_size___right_parenthesis__disc__left_parenthesis__	rp11-153k11.6
optic_disc_size___right_parenthesis__disc__left_parenthesis__	rp11-153k11.6
mean_platelet_volume	jmjd1c
mean_platelet_volume	hsa-mir-1296
mean_platelet_volume	bet1l
mean_platelet_volume	scgb1c1
mean_platelet_volume	odf3
mean_platelet_volume	ric8a
mean_platelet_volume	sirt3
mean_platelet_volume	psmd9
mean_platelet_volume	psmd9
mean_platelet_volume	u7
mean_platelet_volume	u7
mean_platelet_volume	wdr66
mean_platelet_volume	wdr66
mean_platelet_volume	tpm1
mean_platelet_volume	u4
mean_platelet_volume	u4
mean_platelet_volume	taok1
mean_platelet_volume	taok1
mean_platelet_volume	dok6
mean_platelet_volume	cd226
mean_platelet_volume	dnm3
mean_platelet_volume	tmcc2
mean_platelet_volume	sirpa
mean_platelet_volume	rp4-684o24.5
mean_platelet_volume	capn14
mean_platelet_volume	5s_rrna
mean_platelet_volume	ehd3
mean_platelet_volume	arhgef3
mean_platelet_volume	arhgef3
mean_platelet_volume	ctb-111h14.1
mean_platelet_volume	ctb-111h14.1
obesity-related_traits	fto
common_traits___right_parenthesis__other__left_parenthesis__	al591893.3
common_traits___right_parenthesis__other__left_parenthesis__	al591893.2
common_traits___right_parenthesis__other__left_parenthesis__	al591893.1
common_traits___right_parenthesis__other__left_parenthesis__	tchhl1
common_traits___right_parenthesis__other__left_parenthesis__	tchh
common_traits___right_parenthesis__other__left_parenthesis__	lce5a
common_traits___right_parenthesis__other__left_parenthesis__	lce3c
common_traits___right_parenthesis__other__left_parenthesis__	crct1
common_traits___right_parenthesis__other__left_parenthesis__	or2m7
common_traits___right_parenthesis__other__left_parenthesis__	or14c36
common_traits___right_parenthesis__other__left_parenthesis__	wnt6
common_traits___right_parenthesis__other__left_parenthesis__	wnt10a
common_traits___right_parenthesis__other__left_parenthesis__	ac073128.10
bipolar_disorder_and_major_depressive_disorder___right_parenthesis__combined__left_parenthesis__	cacna1c
triglycerides	c11orf9
triglycerides	c11orf9
triglycerides	c11orf10
triglycerides	c11orf10
triglycerides	hsa-mir-611
triglycerides	hsa-mir-611
triglycerides	fen1
triglycerides	fen1
triglycerides	fads1
triglycerides	fads1
triglycerides	hsa-mir-1908
triglycerides	hsa-mir-1908
triglycerides	fads2
triglycerides	fads2
triglycerides	bud13
triglycerides	bud13
triglycerides	bud13
triglycerides	bud13
triglycerides	bud13
triglycerides	ap006216.10
triglycerides	ap006216.10
triglycerides	ap006216.11
triglycerides	ap006216.11
triglycerides	znf259
triglycerides	znf259
triglycerides	apoa5
triglycerides	apoa5
triglycerides	ap006216.12
triglycerides	sik3
triglycerides	dscaml1
triglycerides	herpud1
triglycerides	ac012181.1
triglycerides	cetp
triglycerides	ndufa13
triglycerides	ndufa13
triglycerides	ndufa13
triglycerides	yjefn3
triglycerides	yjefn3
triglycerides	yjefn3
triglycerides	cilp2
triglycerides	cilp2
triglycerides	cilp2
triglycerides	pbx4
triglycerides	pbx4
triglycerides	pbx4
triglycerides	ac011477.4
triglycerides	atp13a1
triglycerides	znf101
triglycerides	tomm40
triglycerides	tomm40
triglycerides	apoe
triglycerides	apoe
triglycerides	apoc1
triglycerides	apoc1
triglycerides	usp1
triglycerides	dock7
triglycerides	dock7
triglycerides	dock7
triglycerides	angptl3
triglycerides	rp11-230b22.1
triglycerides	galnt2
triglycerides	pcif1
triglycerides	znf335
triglycerides	apob
triglycerides	apob
triglycerides	ift172
triglycerides	fndc4
triglycerides	gckr
triglycerides	gckr
triglycerides	gckr
triglycerides	gckr
triglycerides	gckr
triglycerides	ac109829.1
triglycerides	ac109829.1
triglycerides	ac109829.1
triglycerides	ac109829.1
triglycerides	aff1
triglycerides	fzd9
triglycerides	fzd9
triglycerides	fzd9
triglycerides	baz1b
triglycerides	baz1b
triglycerides	baz1b
triglycerides	bcl7b
triglycerides	bcl7b
triglycerides	tbl2
triglycerides	tbl2
triglycerides	mlxipl
triglycerides	xkr6
triglycerides	af131215.1
triglycerides	lpl
triglycerides	lpl
triglycerides	lpl
triglycerides	lpl
triglycerides	lpl
serum_metabolites	ankrd30a
serum_metabolites	c11orf9
serum_metabolites	c11orf9
serum_metabolites	c11orf10
serum_metabolites	c11orf10
serum_metabolites	hsa-mir-611
serum_metabolites	hsa-mir-611
serum_metabolites	fen1
serum_metabolites	fen1
serum_metabolites	fads1
serum_metabolites	fads1
serum_metabolites	hsa-mir-1908
serum_metabolites	hsa-mir-1908
serum_metabolites	fads2
serum_metabolites	fads2
serum_metabolites	unc119b
serum_metabolites	acads
serum_metabolites	rp4-595k12.2
serum_metabolites	ac015969.3
serum_metabolites	ac006994.2
serum_metabolites	acadl
serum_metabolites	etfdh
serum_metabolites	u3
serum_metabolites	ppid
nasopharyngeal_carcinoma	tnfrsf19
nasopharyngeal_carcinoma	tnfrsf19
nasopharyngeal_carcinoma	itga9
nasopharyngeal_carcinoma	mecom
nasopharyngeal_carcinoma	hla-drb1
nasopharyngeal_carcinoma	hla-dqa1
hypertension___right_parenthesis__young_onset__left_parenthesis__	ac009499.1
hypertension___right_parenthesis__young_onset__left_parenthesis__	ac009499.1
hypertension___right_parenthesis__young_onset__left_parenthesis__	ac009499.1
hypertension___right_parenthesis__young_onset__left_parenthesis__	ac009499.1
hypertension___right_parenthesis__young_onset__left_parenthesis__	ac009499.2
hypertension___right_parenthesis__young_onset__left_parenthesis__	ac009499.2
hypertension___right_parenthesis__young_onset__left_parenthesis__	ac009499.2
hypertension___right_parenthesis__young_onset__left_parenthesis__	ac009499.2
pulmonary_function	thsd4
pulmonary_function	rp11-592n21.1
pulmonary_function	arhgef38
pulmonary_function	rp11-311d14.1
pulmonary_function	ints12
pulmonary_function	ints12
pulmonary_function	rp11-311d14.2
pulmonary_function	gstcd
pulmonary_function	gstcd
pulmonary_function	rp11-45l9.1
pulmonary_function	krt18p51
pulmonary_function	fbxo38
pulmonary_function	htr4
pulmonary_function	htr4
pulmonary_function	adam19
pulmonary_function	gpr126
plasma_homocysteine	c1orf167
plasma_homocysteine	rp11-56n19.5
plasma_homocysteine	mthfr
plasma_homocysteine	clcn6
plasma_homocysteine	cbs
cardiac_structure_and_function	slc35f1
glaucoma___right_parenthesis__exfoliation__left_parenthesis__	ac108137.3
glaucoma___right_parenthesis__exfoliation__left_parenthesis__	ac108137.2
glaucoma___right_parenthesis__exfoliation__left_parenthesis__	loxl1
ldl_cholesterol	fads1
ldl_cholesterol	hsa-mir-1908
ldl_cholesterol	fads2
ldl_cholesterol	bud13
ldl_cholesterol	bud13
ldl_cholesterol	ap006216.10
ldl_cholesterol	ap006216.11
ldl_cholesterol	znf259
ldl_cholesterol	apoa5
ldl_cholesterol	herpud1
ldl_cholesterol	ac012181.1
ldl_cholesterol	cetp
ldl_cholesterol	ldlr
ldl_cholesterol	ldlr
ldl_cholesterol	ldlr
ldl_cholesterol	ldlr
ldl_cholesterol	sf4
ldl_cholesterol	sf4
ldl_cholesterol	ndufa13
ldl_cholesterol	ndufa13
ldl_cholesterol	yjefn3
ldl_cholesterol	yjefn3
ldl_cholesterol	cilp2
ldl_cholesterol	cilp2
ldl_cholesterol	pbx4
ldl_cholesterol	pbx4
ldl_cholesterol	pvrl2
ldl_cholesterol	pvrl2
ldl_cholesterol	tomm40
ldl_cholesterol	tomm40
ldl_cholesterol	tomm40
ldl_cholesterol	tomm40
ldl_cholesterol	tomm40
ldl_cholesterol	tomm40
ldl_cholesterol	tomm40
ldl_cholesterol	apoe
ldl_cholesterol	apoe
ldl_cholesterol	apoe
ldl_cholesterol	apoe
ldl_cholesterol	apoe
ldl_cholesterol	apoe
ldl_cholesterol	apoe
ldl_cholesterol	apoc1
ldl_cholesterol	apoc1
ldl_cholesterol	apoc1
ldl_cholesterol	apoc1
ldl_cholesterol	apoc1
ldl_cholesterol	pcsk9
ldl_cholesterol	pcsk9
ldl_cholesterol	pcsk9
ldl_cholesterol	pcsk9
ldl_cholesterol	celsr2
ldl_cholesterol	celsr2
ldl_cholesterol	celsr2
ldl_cholesterol	celsr2
ldl_cholesterol	celsr2
ldl_cholesterol	celsr2
ldl_cholesterol	celsr2
ldl_cholesterol	psrc1
ldl_cholesterol	psrc1
ldl_cholesterol	psrc1
ldl_cholesterol	psrc1
ldl_cholesterol	psrc1
ldl_cholesterol	psrc1
ldl_cholesterol	psrc1
ldl_cholesterol	mybphl
ldl_cholesterol	mybphl
ldl_cholesterol	mybphl
ldl_cholesterol	mybphl
ldl_cholesterol	mybphl
ldl_cholesterol	mybphl
ldl_cholesterol	mybphl
ldl_cholesterol	apob
ldl_cholesterol	apob
ldl_cholesterol	apob
ldl_cholesterol	apob
ldl_cholesterol	apob
ldl_cholesterol	ac010872.1
ldl_cholesterol	ac010872.1
ldl_cholesterol	ac010872.1
ldl_cholesterol	abcg5
ldl_cholesterol	abcg5
ldl_cholesterol	abcg8
ldl_cholesterol	abcg8
ldl_cholesterol	ctd-2235c13.2
ldl_cholesterol	ctd-2235c13.2
ldl_cholesterol	ctd-2235c13.2
ldl_cholesterol	hmgcr
ldl_cholesterol	hmgcr
ldl_cholesterol	hmgcr
ldl_cholesterol	hmgcr
ldl_cholesterol	hmgcr
ldl_cholesterol	col4a3bp
ldl_cholesterol	col4a3bp
ldl_cholesterol	col4a3bp
ldl_cholesterol	col4a3bp
ldl_cholesterol	ctd-2235c13.1
ldl_cholesterol	ctd-2235c13.1
ldl_cholesterol	ctd-2235c13.1
ldl_cholesterol	timd4
ldl_cholesterol	u6
ldl_cholesterol	dnah11
hdl_cholesterol	acp2
hdl_cholesterol	nr1h3
hdl_cholesterol	madd
hdl_cholesterol	or4a47
hdl_cholesterol	c11orf9
hdl_cholesterol	c11orf9
hdl_cholesterol	c11orf10
hdl_cholesterol	c11orf10
hdl_cholesterol	hsa-mir-611
hdl_cholesterol	hsa-mir-611
hdl_cholesterol	fen1
hdl_cholesterol	fen1
hdl_cholesterol	fads1
hdl_cholesterol	fads1
hdl_cholesterol	hsa-mir-1908
hdl_cholesterol	hsa-mir-1908
hdl_cholesterol	fads2
hdl_cholesterol	fads2
hdl_cholesterol	bud13
