affy_hg_u133_plus_2	ensembl_gene_id	hgnc_symbol	entrezgene	uniprot_swissprot_accession	chromosome_name	start_position	end_position	band
200021_at	ENSG00000172757	CFL1	1072		11	65590493	65629497	q13.1
200021_at	ENSG00000172757	CFL1	1072	P23528	11	65590493	65629497	q13.1
200022_at	ENSG00000063177	RPL18	6141		19	49118585	49122793	q13.33
200022_at	ENSG00000063177	RPL18	6141	Q07020	19	49118585	49122793	q13.33
200023_s_at	ENSG00000175390	EIF3F	8665		11	7991798	8023409	p15.4
200023_s_at	ENSG00000175390	EIF3F	8665	O00303	11	7991798	8023409	p15.4
200024_at	ENSG00000083845	RPS5	6193	P46782	19	58898636	58906170	q13.43
200025_s_at	ENSG00000131469	RPL27	6155	P61353	17	41150446	41154956	q21.31
200027_at	ENSG00000134440	NARS	4677	O43776	18	55267896	55289177	q21.31
200028_s_at	ENSG00000084090	STARD7	56910	Q9NQZ5	2	96850597	96874563	q11.2
200029_at	ENSG00000108298	RPL19	6143	P84098	17	37356536	37360980	q12
200030_s_at	ENSG00000075415	SLC25A3	5250		12	98987369	98995946	q23.1
200030_s_at	ENSG00000075415	SLC25A3	5250	Q00325	12	98987369	98995946	q23.1
200031_s_at	ENSG00000142534	RPS11	6205	P62280	19	49999634	50002944	q13.33
200032_s_at	ENSG00000163682	RPL9	6133	P32969	4	39455744	39460568	p14
200032_s_at	ENSG00000163682	RPL9	100508474	P32969	4	39455744	39460568	p14
200032_s_at	ENSG00000163682	RPL9	100510447	P32969	4	39455744	39460568	p14
200032_s_at	ENSG00000163682	RPL9	6133		4	39455744	39460568	p14
200032_s_at	ENSG00000163682	RPL9	100508474		4	39455744	39460568	p14
200032_s_at	ENSG00000163682	RPL9	100510447		4	39455744	39460568	p14
200033_at	ENSG00000108654	DDX5	1655		17	62494374	62502484	q23.3
200033_at	ENSG00000108654	DDX5	1655	P17844	17	62494374	62502484	q23.3
200034_s_at	ENSG00000089009	RPL6	6128	Q02878	12	112842994	112856642	q24.13
200034_s_at	ENSG00000089009	RPL6	6128		12	112842994	112856642	q24.13
200035_at	ENSG00000175826	CTDNEP1	23399	O95476	17	7146910	7155280	p13.1
200036_s_at	ENSG00000198755	RPL10A	4736	P62906	6	35436185	35438562	p21.31
200037_s_at	ENSG00000122565	CBX3	11335	Q13185	7	26240782	26252976	p15.2
200037_s_at	ENSG00000122565	CBX3	11335		7	26240782	26252976	p15.2
200038_s_at	ENSG00000215472	RPL17	6139	P18621	18	47014858	47018906	q21.1
200038_s_at	ENSG00000215472	RPL17	100526842	P18621	18	47014858	47018906	q21.1
200038_s_at	ENSG00000215472	RPL17	6139		18	47014858	47018906	q21.1
200038_s_at	ENSG00000215472	RPL17	100526842		18	47014858	47018906	q21.1
200039_s_at	ENSG00000126067	PSMB2	5690	P49721	1	36067185	36107445	p34.3
200040_at	ENSG00000121774	KHDRBS1	10657	Q07666	1	32479430	32526451	p35.1
200040_at	ENSG00000121774	KHDRBS1	10657		1	32479430	32526451	p35.1
200042_at	ENSG00000100220	C22orf28	51493	Q9Y3I0	22	32783569	32808242	q12.3
200042_at	ENSG00000100220	C22orf28	51493		22	32783569	32808242	q12.3
200043_at	ENSG00000100632	ERH	2079	P84090	14	69846840	69865021	q24.1
200044_at	ENSG00000111786	SRSF9	8683	Q13242	12	120899471	120907596	q24.31
200045_at	ENSG00000204574	ABCF1	23	Q8NE71	6	30539153	30564956	p21.33
200045_at	ENSG00000204574	ABCF1	23		6	30539153	30564956	p21.33
200046_at	ENSG00000129562	DAD1	1603	P61803	14	23033805	23058175	q11.2
200046_at	ENSG00000129562	DAD1	1603		14	23033805	23058175	q11.2
200047_s_at	ENSG00000100811	YY1	7528	P25490	14	100705322	100749129	q32.2
200048_s_at	ENSG00000143543	JTB	10899	O76095	1	153946745	153950164	q21.3
200048_s_at	ENSG00000143543	JTB	10899		1	153946745	153950164	q21.3
200049_at	ENSG00000136504	MYST2	11143	O95251	17	47865917	47906458	q21.33
200049_at	ENSG00000136504	MYST2	11143		17	47865917	47906458	q21.33
200050_at	ENSG00000167635	ZNF146	7705	Q15072	19	36705504	36729673	q13.12
200051_at	ENSG00000175467	SART1	9092	O43290	11	65729160	65747299	q13.1
200051_at	ENSG00000175467	SART1	9092		11	65729160	65747299	q13.1
200052_s_at	ENSG00000143621	ILF2	3608	Q12905	1	153634512	153643524	q21.3
200053_at	ENSG00000091640	SPAG7	9552	O75391	17	4862523	4871132	p13.2
200054_at	ENSG00000109917	ZNF259	8882		11	116648436	116658766	q23.3
200054_at	ENSG00000109917	ZNF259	8882	O75312	11	116648436	116658766	q23.3
200055_at	ENSG00000166337	TAF10	6881	Q12962	11	6627526	6633898	p15.4
200056_s_at	ENSG00000197223	C1D	10438	Q13901	2	68268262	68338080	p14
200057_s_at	ENSG00000147140	NONO	4841	Q15233	X	70503042	70521018	q13.1
200057_s_at	ENSG00000147140	NONO	4841		X	70503042	70521018	q13.1
200058_s_at	ENSG00000144028	SNRNP200	23020	O75643	2	96940074	96971297	q11.2
200058_s_at	ENSG00000144028	SNRNP200	652147	O75643	2	96940074	96971297	q11.2
200058_s_at	ENSG00000144028	SNRNP200	23020		2	96940074	96971297	q11.2
200058_s_at	ENSG00000144028	SNRNP200	652147		2	96940074	96971297	q11.2
200059_s_at	ENSG00000067560	RHOA	387	P61586	3	49396578	49450431	p21.31
200059_s_at	ENSG00000067560	RHOA	387		3	49396578	49450431	p21.31
200060_s_at	ENSG00000205937	RNPS1	10921	Q15287	16	2303117	2318379	p13.3
200061_s_at	ENSG00000138326	RPS24	6229	P62847	10	79793518	79816570	q22.3
200061_s_at	ENSG00000138326	RPS24	6229		10	79793518	79816570	q22.3
200062_s_at	ENSG00000156482	RPL30	6156		8	99037079	99058697	q22.2
200062_s_at	ENSG00000156482	RPL30	6156	P62888	8	99037079	99058697	q22.2
200064_at	ENSG00000096384	HSP90AB1	3326	P08238	6	44214824	44221620	p21.1
200065_s_at	ENSG00000143761	ARF1	375	P84077	1	228270361	228286912	q42.13
200065_s_at	ENSG00000143761	ARF1	375		1	228270361	228286912	q42.13
200066_at	ENSG00000113141	IK	3550	Q13123	5	140026643	140042064	q31.3
200066_at	ENSG00000113141	IK	3550		5	140026643	140042064	q31.3
200067_x_at	ENSG00000112335	SNX3	8724	O60493	6	108532426	108582464	q21
200067_x_at	ENSG00000112335	SNX3	8724		6	108532426	108582464	q21
200068_s_at	ENSG00000127022	CANX	821	P27824	5	179105629	179157926	q35.3
200069_at	ENSG00000075856	SART3	9733	Q15020	12	108916357	108955176	q23.3
200069_at	ENSG00000075856	SART3	9733		12	108916357	108955176	q23.3
200070_at	ENSG00000115649	CNPPD1	27013	Q9BV87	2	220036619	220042828	q35
200070_at	ENSG00000115649	CNPPD1	27013		2	220036619	220042828	q35
200071_at	ENSG00000119953	SMNDC1	10285	O75940	10	112052798	112064709	q25.2
200072_s_at	ENSG00000099783	HNRNPM	4670	P52272	19	8509651	8553885	p13.2
200072_s_at	ENSG00000099783	HNRNPM	4670		19	8509651	8553885	p13.2
200073_s_at	ENSG00000138668	HNRNPD	3184	Q14103	4	83273651	83295656	q21.22
200073_s_at	ENSG00000138668	HNRNPD	3184		4	83273651	83295656	q21.22
200074_s_at	ENSG00000188846	RPL14	9045	P50914	3	40498783	40506549	p22.1
200074_s_at	ENSG00000188846	RPL14	9045		3	40498783	40506549	p22.1
200075_s_at	ENSG00000143774	GUK1	2987	Q16774	1	228327663	228336685	q42.13
200075_s_at	ENSG00000143774	GUK1	2987		1	228327663	228336685	q42.13
200076_s_at	ENSG00000105700	C19orf50	79036		19	18668572	18680197	p13.11
200076_s_at	ENSG00000105700	C19orf50	79036	Q9BQD3	19	18668572	18680197	p13.11
200077_s_at	ENSG00000104904	OAZ1	4946	P54368	19	2269520	2273487	p13.3
200078_s_at	ENSG00000117410	ATP6V0B	533		1	44440159	44443967	p34.1
200078_s_at	ENSG00000117410	ATP6V0B	533	Q99437	1	44440159	44443967	p34.1
200079_s_at	ENSG00000065427	KARS	3735	Q15046	16	75661622	75681577	q23.1
200079_s_at	ENSG00000065427	KARS	3735		16	75661622	75681577	q23.1
200080_s_at	ENSG00000163041	H3F3A	3020	P84243	1	226249552	226259702	q42.12
200080_s_at	ENSG00000163041	H3F3A	3021	P84243	1	226249552	226259702	q42.12
200081_s_at	ENSG00000137154	RPS6	6194	P62753	9	19375713	19380252	p22.1
200081_s_at	ENSG00000137154	RPS6	6194		9	19375713	19380252	p22.1
200082_s_at	ENSG00000171863	RPS7	6201	P62081	2	3622795	3628509	p25.3
200082_s_at	ENSG00000171863	RPS7	6201		2	3622795	3628509	p25.3
200083_at	ENSG00000124422	USP22	23326	Q9UPT9	17	20902906	20947073	p11.2
200083_at	ENSG00000124422	USP22	23326		17	20902906	20947073	p11.2
200084_at	ENSG00000110696	C11orf58	10944	O00193	11	16634679	16778649	p15.1
200084_at	ENSG00000110696	C11orf58	10944		11	16634679	16778649	p15.1
200085_s_at	ENSG00000103363	TCEB2	6923	Q15370	16	2821415	2827278	p13.3
200085_s_at	ENSG00000103363	TCEB2	6923		16	2821415	2827278	p13.3
200086_s_at	ENSG00000131143	COX4I1	1327	P13073	16	85833290	85840608	q24.1
200087_s_at	ENSG00000086598	TMED2	10959	Q15363	12	124069078	124083116	q24.31
200088_x_at	ENSG00000197958	RPL12	6136	P30050	9	130209953	130213684	q33.3
200088_x_at	ENSG00000197958	RPL12	6136		9	130209953	130213684	q33.3
200089_s_at	ENSG00000174444	RPL4	6124	P36578	15	66790801	66797221	q22.31
200089_s_at	ENSG00000174444	RPL4	6124		15	66790801	66797221	q22.31
200090_at	ENSG00000168522	FNTA	2339	P49354	8	42889337	42940931	p11.21
200090_at	ENSG00000168522	FNTA	2339		8	42889337	42940931	p11.21
200091_s_at	ENSG00000118181	RPS25	6230		11	118886422	118889401	q23.3
200091_s_at	ENSG00000118181	RPS25	6230	P62851	11	118886422	118889401	q23.3
200092_s_at	ENSG00000145592	RPL37	6167	P61927	5	40825364	40835437	p13.1
200092_s_at	ENSG00000145592	RPL37	6167		5	40825364	40835437	p13.1
200093_s_at	ENSG00000169567	HINT1	3094	P49773	5	130494720	130507428	q23.3
200093_s_at	ENSG00000169567	HINT1	3094		5	130494720	130507428	q23.3
200094_s_at	ENSG00000167658	EEF2	1938	P13639	19	3972316	3985461	p13.3
200095_x_at	ENSG00000124614	RPS10	6204	P46783	6	34385231	34393902	p21.31
200095_x_at	ENSG00000124614	RPS10	6204		6	34385231	34393902	p21.31
200096_s_at	ENSG00000113732	ATP6V0E1	8992		5	172410760	172462448	q35.1
200096_s_at	ENSG00000113732	ATP6V0E1	8992	O15342	5	172410760	172462448	q35.1
200097_s_at	ENSG00000165119	HNRNPK	3190		9	86582998	86595569	q21.32
200097_s_at	ENSG00000165119	HNRNPK	3190	P61978	9	86582998	86595569	q21.32
200098_s_at	ENSG00000089053	ANAPC5	51433		12	121746048	121837699	q24.31
200098_s_at	ENSG00000089053	ANAPC5	51433	Q9UJX4	12	121746048	121837699	q24.31
200099_s_at	ENSG00000145425	RPS3A	6189	P61247	4	152020725	152025804	q31.3
200099_s_at	ENSG00000145425	RPS3A	6189		4	152020725	152025804	q31.3
200593_s_at	ENSG00000153187	HNRNPU	3192		1	245014468	245027844	q44
200593_s_at	ENSG00000153187	HNRNPU	3192	Q00839	1	245014468	245027844	q44
200594_x_at	ENSG00000153187	HNRNPU	3192		1	245014468	245027844	q44
200594_x_at	ENSG00000153187	HNRNPU	3192	Q00839	1	245014468	245027844	q44
200595_s_at	ENSG00000107581	EIF3A	8661	Q14152	10	120794356	120840396	q26.11
200596_s_at	ENSG00000107581	EIF3A	8661	Q14152	10	120794356	120840396	q26.11
200596_s_at	ENSG00000107581	EIF3A	8661		10	120794356	120840396	q26.11
200597_at	ENSG00000107581	EIF3A	8661	Q14152	10	120794356	120840396	q26.11
200598_s_at	ENSG00000166598	HSP90B1	7184	P14625	12	104323885	104347423	q23.3
200598_s_at	ENSG00000166598	HSP90B1	7184		12	104323885	104347423	q23.3
200599_s_at	ENSG00000166598	HSP90B1	7184	P14625	12	104323885	104347423	q23.3
200599_s_at	ENSG00000166598	HSP90B1	7184		12	104323885	104347423	q23.3
200600_at	ENSG00000147065	MSN	4478	P26038	X	64887537	64961791	q12
200601_at	ENSG00000130402	ACTN4	81	O43707	19	39138310	39222223	q13.2
200601_at	ENSG00000130402	ACTN4	81		19	39138310	39222223	q13.2
200602_at	ENSG00000142192	APP	351	P05067	21	27252861	27543446	q21.3
200602_at	ENSG00000142192	APP	351		21	27252861	27543446	q21.3
200603_at	ENSG00000108946	PRKAR1A	5573	P10644	17	66508110	66528908	q24.2
200603_at	ENSG00000108946	PRKAR1A	5573		17	66508110	66528908	q24.2
200604_s_at	ENSG00000108946	PRKAR1A	5573	P10644	17	66508110	66528908	q24.2
200604_s_at	ENSG00000108946	PRKAR1A	5573		17	66508110	66528908	q24.2
200605_s_at	ENSG00000108946	PRKAR1A	5573	P10644	17	66508110	66528908	q24.2
200605_s_at	ENSG00000108946	PRKAR1A	5573		17	66508110	66528908	q24.2
200606_at	ENSG00000096696	DSP	1832	P15924	6	7541808	7586950	p24.3
200606_at	ENSG00000096696	DSP	1832		6	7541808	7586950	p24.3
200607_s_at	ENSG00000164754	RAD21	5885	O60216	8	117858174	117887105	q24.11
200608_s_at	ENSG00000164754	RAD21	5885	O60216	8	117858174	117887105	q24.11
200609_s_at	ENSG00000071127	WDR1	9948		4	10075963	10118573	p16.1
200609_s_at	ENSG00000071127	WDR1	9948	O75083	4	10075963	10118573	p16.1
200610_s_at	ENSG00000115053	NCL	4691	P19338	2	232318242	232348352	q37.1
200610_s_at	ENSG00000115053	NCL	4691		2	232318242	232348352	q37.1
200611_s_at	ENSG00000071127	WDR1	9948		4	10075963	10118573	p16.1
200611_s_at	ENSG00000071127	WDR1	9948	O75083	4	10075963	10118573	p16.1
200612_s_at	ENSG00000006125	AP2B1	163	P63010	17	33914282	34053434	q12
200612_s_at	ENSG00000006125	AP2B1	163		17	33914282	34053434	q12
200613_at	ENSG00000161203	AP2M1	1173		3	183892477	183901879	q27.1
200613_at	ENSG00000161203	AP2M1	1173	Q96CW1	3	183892477	183901879	q27.1
200614_at	ENSG00000141367	CLTC	1213	Q00610	17	57697219	57773671	q23.1
200615_s_at	ENSG00000006125	AP2B1	163	P63010	17	33914282	34053434	q12
200615_s_at	ENSG00000006125	AP2B1	163		17	33914282	34053434	q12
200616_s_at	ENSG00000110917	MLEC	9761	Q14165	12	121124672	121139667	q24.31
200616_s_at	ENSG00000110917	MLEC	9761		12	121124672	121139667	q24.31
200617_at	ENSG00000110917	MLEC	9761	Q14165	12	121124672	121139667	q24.31
200618_at	ENSG00000002834	LASP1	3927	Q14847	17	37026256	37078023	q12
200618_at	ENSG00000002834	LASP1	3927		17	37026256	37078023	q12
200619_at	ENSG00000087365	SF3B2	10992		11	65818200	65836779	q13.1
200619_at	ENSG00000087365	SF3B2	10992	Q13435	11	65818200	65836779	q13.1
200620_at	ENSG00000116209	TMEM59	9528		1	54497347	54519177	p32.3
200620_at	ENSG00000116209	TMEM59	9528	Q9BXS4	1	54497347	54519177	p32.3
200621_at	ENSG00000159176	CSRP1	1465	P21291	1	201452658	201478584	q32.1
200621_at	ENSG00000159176	CSRP1	1465		1	201452658	201478584	q32.1
200622_x_at	ENSG00000160014	CALM3	801	P62158	19	47104566	47114039	q13.32
200622_x_at	ENSG00000160014	CALM3	805	P62158	19	47104566	47114039	q13.32
200622_x_at	ENSG00000160014	CALM3	808	P62158	19	47104566	47114039	q13.32
200623_s_at	ENSG00000160014	CALM3	801	P62158	19	47104566	47114039	q13.32
200623_s_at	ENSG00000160014	CALM3	805	P62158	19	47104566	47114039	q13.32
200623_s_at	ENSG00000160014	CALM3	808	P62158	19	47104566	47114039	q13.32
200624_s_at	ENSG00000015479	MATR3	9782		5	138609441	138667360	q31.2
200624_s_at	ENSG00000015479	MATR3	9782	P43243	5	138609441	138667360	q31.2
200625_s_at	ENSG00000131236	CAP1	10487	Q01518	1	40505905	40538321	p34.2
200625_s_at	ENSG00000131236	CAP1	10487		1	40505905	40538321	p34.2
200626_s_at	ENSG00000015479	MATR3	9782		5	138609441	138667360	q31.2
200626_s_at	ENSG00000015479	MATR3	9782	P43243	5	138609441	138667360	q31.2
200627_at	ENSG00000110958	PTGES3	10728	Q15185	12	57057127	57082159	q13.3
200627_at	ENSG00000110958	PTGES3	10728		12	57057127	57082159	q13.3
200628_s_at	ENSG00000140105	WARS	7453	P23381	14	100800125	100842680	q32.2
200628_s_at	ENSG00000140105	WARS	7453		14	100800125	100842680	q32.2
200629_at	ENSG00000140105	WARS	7453	P23381	14	100800125	100842680	q32.2
200629_at	ENSG00000140105	WARS	7453		14	100800125	100842680	q32.2
200630_x_at	ENSG00000119335	SET	6418	Q01105	9	131445703	131458679	q34.11
200630_x_at	ENSG00000119335	SET	6418		9	131445703	131458679	q34.11
200631_s_at	ENSG00000119335	SET	6418	Q01105	9	131445703	131458679	q34.11
200631_s_at	ENSG00000119335	SET	6418		9	131445703	131458679	q34.11
200632_s_at	ENSG00000104419	NDRG1	10397	Q92597	8	134249414	134314265	q24.22
200632_s_at	ENSG00000104419	NDRG1	10397		8	134249414	134314265	q24.22
200633_at	ENSG00000170315	UBB	7314	P0CG47	17	16284113	16286054	p11.2
200633_at	ENSG00000170315	UBB	7314		17	16284113	16286054	p11.2
200634_at	ENSG00000108518	PFN1	5216	P07737	17	4848947	4852309	p13.2
200635_s_at	ENSG00000142949	PTPRF	5792	P10586	1	43990858	44089343	p34.2
200635_s_at	ENSG00000142949	PTPRF	5792		1	43990858	44089343	p34.2
200636_s_at	ENSG00000142949	PTPRF	5792	P10586	1	43990858	44089343	p34.2
200636_s_at	ENSG00000142949	PTPRF	5792		1	43990858	44089343	p34.2
200637_s_at	ENSG00000142949	PTPRF	5792	P10586	1	43990858	44089343	p34.2
200637_s_at	ENSG00000142949	PTPRF	5792		1	43990858	44089343	p34.2
200638_s_at	ENSG00000164924	YWHAZ	7534	P63104	8	101930804	101965616	q22.3
200638_s_at	ENSG00000164924	YWHAZ	7534		8	101930804	101965616	q22.3
200639_s_at	ENSG00000164924	YWHAZ	7534	P63104	8	101930804	101965616	q22.3
200639_s_at	ENSG00000164924	YWHAZ	7534		8	101930804	101965616	q22.3
200640_at	ENSG00000164924	YWHAZ	7534	P63104	8	101930804	101965616	q22.3
200640_at	ENSG00000164924	YWHAZ	7534		8	101930804	101965616	q22.3
200641_s_at	ENSG00000164924	YWHAZ	7534	P63104	8	101930804	101965616	q22.3
200641_s_at	ENSG00000164924	YWHAZ	7534		8	101930804	101965616	q22.3
200642_at	ENSG00000142168	SOD1	6647	P00441	21	33031935	33041244	q22.11
200642_at	ENSG00000142168	SOD1	6647		21	33031935	33041244	q22.11
200643_at	ENSG00000115677	HDLBP	3069	Q00341	2	242166679	242256476	q37.3
200643_at	ENSG00000115677	HDLBP	3069		2	242166679	242256476	q37.3
200644_at	ENSG00000175130	MARCKSL1	65108	P49006	1	32799433	32801980	p35.1
200645_at	ENSG00000170296	GABARAP	11337	O95166	17	7143333	7145772	p13.1
200646_s_at	ENSG00000104805	NUCB1	4924	Q02818	19	49403307	49426528	q13.33
200648_s_at	ENSG00000135821	GLUL	2752	P15104	1	182350839	182361341	q25.3
200648_s_at	ENSG00000135821	GLUL	2752		1	182350839	182361341	q25.3
200649_at	ENSG00000104805	NUCB1	4924	Q02818	19	49403307	49426528	q13.33
200650_s_at	ENSG00000134333	LDHA	3939	P00338	11	18415935	18429972	p15.1
200650_s_at	ENSG00000134333	LDHA	3939		11	18415935	18429972	p15.1
200651_at	ENSG00000204628	GNB2L1	10399		5	180663909	180675096	q35.3
200651_at	ENSG00000204628	GNB2L1	10399	P63244	5	180663909	180675096	q35.3
200652_at	ENSG00000163479	SSR2	6746	P43308	1	155978839	155990750	q22
200652_at	ENSG00000163479	SSR2	6746		1	155978839	155990750	q22
200653_s_at	ENSG00000198668	CALM1	801	P62158	14	90863327	90874617	q32.11
200653_s_at	ENSG00000198668	CALM1	805	P62158	14	90863327	90874617	q32.11
200653_s_at	ENSG00000198668	CALM1	808	P62158	14	90863327	90874617	q32.11
200653_s_at	ENSG00000198668	CALM1	801		14	90863327	90874617	q32.11
200653_s_at	ENSG00000198668	CALM1	805		14	90863327	90874617	q32.11
200653_s_at	ENSG00000198668	CALM1	808		14	90863327	90874617	q32.11
200654_at	ENSG00000185624	P4HB	5034	P07237	17	79801037	79818545	q25.3
200654_at	ENSG00000185624	P4HB	5034		17	79801037	79818545	q25.3
200655_s_at	ENSG00000198668	CALM1	801	P62158	14	90863327	90874617	q32.11
200655_s_at	ENSG00000198668	CALM1	805	P62158	14	90863327	90874617	q32.11
200655_s_at	ENSG00000198668	CALM1	808	P62158	14	90863327	90874617	q32.11
200655_s_at	ENSG00000198668	CALM1	801		14	90863327	90874617	q32.11
200655_s_at	ENSG00000198668	CALM1	805		14	90863327	90874617	q32.11
200655_s_at	ENSG00000198668	CALM1	808		14	90863327	90874617	q32.11
200656_s_at	ENSG00000185624	P4HB	5034	P07237	17	79801037	79818545	q25.3
200656_s_at	ENSG00000185624	P4HB	5034		17	79801037	79818545	q25.3
200657_at	ENSG00000005022	SLC25A5	292	P05141	X	118602363	118605282	q24
200658_s_at	ENSG00000167085	PHB	5245	P35232	17	47481414	47492246	q21.33
200658_s_at	ENSG00000167085	PHB	5245		17	47481414	47492246	q21.33
200659_s_at	ENSG00000167085	PHB	5245	P35232	17	47481414	47492246	q21.33
200659_s_at	ENSG00000167085	PHB	5245		17	47481414	47492246	q21.33
200660_at	ENSG00000163191	S100A11	6282	P31949	1	152004982	152020383	q21.3
200661_at	ENSG00000064601	CTSA	5476	P10619	20	44519591	44527459	q13.12
200662_s_at	ENSG00000173726	TOMM20	9804	Q15388	1	235272651	235292251	q42.3
200663_at	ENSG00000135404	CD63	967		12	56119107	56123491	q13.2
200663_at	ENSG00000135404	CD63	967	P08962	12	56119107	56123491	q13.2
200664_s_at	ENSG00000132002	DNAJB1	3337	P25685	19	14625582	14640049	p13.12
200664_s_at	ENSG00000132002	DNAJB1	3337		19	14625582	14640049	p13.12
